Question,Answer
What is the difference between Off net and On net?,Off-Net are calls made to non-Econet numbers and On-net are calls made from Econet to Econet numbers.
Is it possible to use the airtime before I convert it to a bundle?,"No, the airtime is only usable after it is converted to a bundle."
Am I able to transfer airtime to my friend using 111 self-service?,"No, the airtime is not transferable unless you are buying the bundle for someone else."
Can I call outside the country with the USD bundles?,"No, the current bundles can only call within Zimbabwe"
Can I call non-Econet numbers with the voice bundles?,"Yes, you can call other networks with any bundle that is $1 and above for the stipulated ‘off net’ allocation."
Can I carry over my bundle or ask for a bundle extension in case I didn’t finish my bundle allocation before expiry?,"No, you cannot carry over the bundle. You will have to use it within stipulated times."
How do these bundles expire?,"The following are the expiry dates: daily (24hours), weekly (7 days), bi-weekly (14 days) and monthly (30 days)"
How do I check my USD bundle balance?,Dial *143# and go to option 8
How do I check my airtime balance?,Dial *125# to check USD bundles
Can I buy for someone else?,Yes you can use the buy for other option on 143 or EcoCash FCA
"Can I use my USD airtime directly to make calls, send messages or browse before converting my airtime to bundles?","You cannot use your USD airtime directly to make calls, send messages or browse before converting the airtime to bundles?"
What is the difference between anytime and Off-peak?,Anytime allocation is usable throughout the day. The off-peak allocation is usable between 2300hrs and 0400hrs only.
What are the Smart USD bundles available? (Current status on 143),Voice
How can I purchase the bundles?,You can purchase USD airtime directly from all Econet shops and dealers and convert it to bundles via *143#
Are they available to everyone?,"These bundles are available to all prepaid Econet customers only. (Post-paid, Hybrid, staff and telemetry lines cannot buy the bundles)"
What is a Smart USD bundle?,These are Econet discounted bundles that are purchased using USDs
How do I de-activate Faith Religious service?,To unsubscribe the faith religious service please dial *205*3*2# and your number will be removed from that service.
How do I deactivate the sports service?,"Dear valued customer, in order to deactivate sports updates, dial *717#, select the service you would wish to deactivate, select deactivate."
